#{"t_start": 1780881969.2482378, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
29.74,26,44.440619,True,1,0,74.0,success
29.75,25,44.460068,True,1,0,75.0,success
29.74,26,44.480206,True,1,0,74.0,success
29.72,28,44.503973,True,1,0,72.0,success
28.67,33,44.533086,True,1,1,67.0,success
28.75,25,44.552629,True,1,1,75.0,success
29.76,24,44.570754,True,1,0,76.0,success
28.75,25,44.589872,True,1,1,75.0,success
29.75,25,44.606959,True,1,0,75.0,success
29.76,24,44.625391,True,1,0,76.0,success
28.75,25,44.643396,True,1,1,75.0,success
28.75,25,44.662466,True,1,1,75.0,success
28.7,30,44.682869,True,1,1,70.0,success
29.76,24,44.698491,True,1,0,76.0,success
29.76,24,44.715054,True,1,0,76.0,success
29.75,25,44.733522,True,1,0,75.0,success
27.7,30,44.753054,True,1,2,70.0,success
29.71,29,44.773841,True,1,0,71.0,success
28.73,27,44.790814,True,1,1,73.0,success
29.74,26,44.807704,True,1,0,74.0,success
29.74,26,44.823152,True,1,0,74.0,success
28.75,25,44.838121,True,1,1,75.0,success
29.71,29,44.854795,True,1,0,71.0,success
29.72,28,44.873891,True,1,0,72.0,success
29.76,24,45.77095,True,1,0,76.0,success
29.73,25,45.790884,True,1,0,75.0,success
29.76,24,45.808824,True,1,0,76.0,success
29.72,28,45.832164,True,1,0,72.0,success
29.74,26,45.853028,True,1,0,74.0,success
29.76,24,45.873411,True,1,0,76.0,success
29.76,24,45.893385,True,1,0,76.0,success
29.74,26,45.915571,True,1,0,74.0,success
28.71,29,45.939264,True,1,1,71.0,success
29.69,31,45.964491,True,1,0,69.0,success
29.76,24,45.982131,True,1,0,76.0,success
28.72,28,46.002953,True,1,1,72.0,success
28.73,27,46.024061,True,1,1,73.0,success
29.76,24,46.042904,True,1,0,76.0,success
29.75,25,46.070681,True,1,0,75.0,success
29.74,26,46.092947,True,1,0,74.0,success
29.75,25,46.109993,True,1,0,75.0,success
29.73,27,46.133159,True,1,0,73.0,success
29.73,25,46.151529,True,1,0,75.0,success
29.76,24,46.167373,True,1,0,76.0,success
29.75,25,46.18649,True,1,0,75.0,success
29.76,24,46.204639,True,1,0,76.0,success
29.76,24,46.221768,True,1,0,76.0,success
29.74,26,46.240193,True,1,0,74.0,success
29.76,24,46.258418,True,1,0,76.0,success
29.76,24,46.274233,True,1,0,76.0,success
29.74,26,46.293065,True,1,0,74.0,success
27.7,30,46.313416,True,1,2,70.0,success
27.73,27,46.332476,True,1,2,73.0,success
28.74,26,46.351335,True,1,1,74.0,success
29.7,30,46.372588,True,1,0,70.0,success
29.75,25,46.389631,True,1,0,75.0,success
29.76,24,46.407587,True,1,0,76.0,success
29.76,24,46.425841,True,1,0,76.0,success
